10-Oct,6.6707,6.6895,6.6925,6.6398,-0.31%
10-Sep,6.6917,6.8083,6.8187,6.6827,-1.70%
10-Aug,6.8075,6.7742,6.812,6.7635,0.49%
10-Jul,6.774,6.781,6.784,6.7677,-0.11%
10-Jun,6.7817,6.8272,6.8331,6.7797,-0.68%
10-May,6.8278,6.8245,6.8323,6.8236,0.04%
10-Apr,6.8252,6.8257,6.8305,6.823,-0.01%
10-Mar,6.8259,6.8254,6.8305,6.8248,0.00%
10-Feb,6.8261,6.8263,6.8348,6.8223,-0.01%
10-Jan,6.8269,6.8285,6.8296,6.8233,0.00%
9-Dec,6.827,6.8282,6.8335,6.8245,-0.01%
9-Nov,6.8275,6.8279,6.8334,6.8256,0.00%
9-Oct,6.8275,6.8271,6.8359,6.8236,0.01%
9-Sep,6.8265,6.8308,6.8332,6.8249,-0.06%
9-Aug,6.8304,6.831,6.837,6.8296,-0.02%
9-Jul,6.8321,6.8309,6.8351,6.8294,0.02%
9-Jun,6.8305,6.8253,6.8404,6.8248,0.03%
9-May,6.8283,6.823,6.8375,6.8108,0.14%
9-Apr,6.8185,6.832,6.8414,6.8176,-0.22%
9-Mar,6.8334,6.8385,6.8468,6.8212,-0.09%
9-Feb,6.8396,6.8431,6.8521,6.8242,0.07%
9-Jan,6.835,6.831,6.8565,6.822,0.18%
8-Dec,6.823,6.8325,6.89,6.817,-0.04%
8-Nov,6.8259,6.834,6.8412,6.818,-0.20%
8-Oct,6.8395,6.8434,6.8591,6.8105,-0.08%
8-Sep,6.8451,6.8375,6.8543,6.8105,-0.05%
8-Aug,6.8487,6.8313,6.8813,6.8255,0.25%
8-Jul,6.8315,6.853,6.8695,6.8105,-0.33%
8-Jun,6.8544,6.9401,6.9486,6.8541,-1.27%
8-May,6.9425,6.9995,7.0075,6.936,-0.66%
8-Apr,6.9885,7.0131,7.024,6.9815,-0.34%
8-Mar,7.0124,7.1019,7.1139,7.01,-1.40%
8-Feb,7.1119,7.1814,7.2089,7.1029,-0.98%
8-Jan,7.1822,7.2964,7.3029,7.1804,-1.67%
7-Dec,7.3041,7.4091,7.4135,7.3032,-1.27%
7-Nov,7.398,7.4615,7.4624,7.381,-0.98%
7-Oct,7.4715,7.506,7.5283,7.461,-0.46%
7-Sep,7.506,7.55,7.5556,7.5017,-0.52%
7-Aug,7.545,7.566,7.609,7.5415,-0.36%
7-Jul,7.5725,7.609,7.6128,7.5535,-0.54%
7-Jun,7.6135,7.6481,7.6798,7.6135,-0.44%
7-May,7.6475,7.704,7.704,7.6455,-0.75%
7-Apr,7.7055,7.7296,7.735,7.7035,-0.33%
7-Mar,7.7308,7.747,7.7525,7.7255,-0.09%
7-Feb,7.738,7.7605,7.7652,7.737,-0.47%
7-Jan,7.7748,7.814,7.8165,7.7685,-0.42%
6-Dec,7.8075,7.8332,7.8348,7.8072,-0.33%
6-Nov,7.8333,7.873,7.8823,7.8309,-0.58%
6-Oct,7.879,7.9103,7.9203,7.8775,-0.36%
6-Sep,7.9073,7.9592,7.961,7.8948,-0.60%
6-Aug,7.9549,7.9736,8.0016,7.9549,-0.19%
6-Jul,7.97,7.992,8.005,7.9653,-0.28%
6-Jun,7.9925,8.0214,8.0266,7.9925,-0.39%
6-May,8.024,8.0139,8.0325,7.998,0.13%
6-Apr,8.0139,8.0225,8.0259,8.0025,-0.04%
6-Mar,8.0175,8.0394,8.0522,8.0168,-0.28%
6-Feb,8.0404,8.0569,8.0643,8.0404,-0.27%
6-Jan,8.0622,8.0664,8.0695,8.0584,-0.10%
5-Dec,8.0702,8.0784,8.081,8.069,-0.10%
5-Nov,8.078,8.0707,8.0877,8.0688,-0.06%
5-Oct,8.0832,8.0868,8.097,8.0818,-0.11%
5-Sep,8.0922,8.0927,8.0948,8.0862,-0.09%
5-Aug,8.0998,8.0998,8.0998,8.0998,-0.07%
5-Jul,8.1056,8.1056,8.1056,8.1056,-2.06%
5-Jun,8.2765,8.2765,8.2765,8.2765,0.00%
5-May,8.2765,8.2765,8.2765,8.2765,0.00%
5-Apr,8.2765,8.2765,8.2765,8.2765,0.00%
5-Mar,8.2765,8.2765,8.2765,8.2765,0.00%
5-Feb,8.2765,8.2765,8.2765,8.2765,0.00%
5-Jan,8.2765,8.2765,8.2765,8.2765,0.00%
4-Dec,8.2765,8.2765,8.2765,8.2765,0.00%
4-Nov,8.2765,8.2765,8.2765,8.2765,0.00%
4-Oct,8.2765,8.2765,8.2765,8.2765,0.00%
4-Sep,8.2766,8.2766,8.2766,8.2766,0.00%
4-Aug,8.2766,8.2766,8.2766,8.2766,0.00%
4-Jul,8.2769,8.2769,8.2769,8.2769,0.00%
4-Jun,8.2766,8.2766,8.2766,8.2766,0.00%
4-May,8.2768,8.2768,8.2768,8.2768,0.00%
4-Apr,8.2771,8.2771,8.2771,8.2771,0.00%
4-Mar,8.2771,8.2771,8.2771,8.2771,0.00%
4-Feb,8.2769,8.2769,8.2769,8.2769,0.00%
4-Jan,8.2768,8.2768,8.2768,8.2768,0.00%
3-Dec,8.2767,8.2767,8.2767,8.2767,0.00%
3-Nov,8.277,8.277,8.277,8.277,0.00%
3-Oct,8.2768,8.2768,8.2768,8.2768,0.00%
3-Sep,8.277,8.277,8.277,8.277,0.00%
3-Aug,8.2772,8.2772,8.2772,8.2772,0.00%
3-Jul,8.2774,8.2774,8.2774,8.2774,0.00%
3-Jun,8.2775,8.2775,8.2775,8.2775,0.01%
3-May,8.277,8.277,8.277,8.277,0.00%
3-Apr,8.2772,8.2772,8.2772,8.2772,0.00%
3-Mar,8.2774,8.2774,8.2774,8.2774,0.00%
3-Feb,8.2775,8.2775,8.2775,8.2775,-0.01%
3-Jan,8.2784,8.2784,8.2784,8.2784,0.00%
2-Dec,8.2785,8.2785,8.2785,8.2785,0.01%
2-Nov,8.2773,8.2773,8.2773,8.2773,0.00%
2-Oct,8.277,8.277,8.277,8.277,0.00%
2-Sep,8.2773,8.2773,8.2773,8.2773,0.01%
