(2017, 8) : 64.14647730769231
(2017, 9) : 64.35865411724852
(2017, 10) : 64.57153274240557
(2017, 11) : 64.78511550455352
(2017, 12) : 64.99940473276088
(2018, 1) : 65.21440276380001
(2018, 2) : 65.43011194217257
(2018, 3) : 65.64653462013514
(2018, 4) : 65.86367315772482
(2018, 5) : 66.08152992278498
(2018, 6) : 66.30010729099112
(2018, 7) : 66.51940764587671
(2018, 8) : 66.73943337885923
(2018, 9) : 66.96018688926623
(2018, 10) : 67.18167058436148
(2018, 11) : 67.4038868793713
(2018, 12) : 67.62683819751076
(2019, 1) : 67.85052697001022
(2019, 2) : 68.0749556361418
(2019, 3) : 68.30012664324596
(2019, 4) : 68.52604244675824
(2019, 5) : 68.75270551023598
(2019, 6) : 68.98011830538523
(2019, 7) : 69.20828331208766
(2019, 8) : 69.43720301842764
(2019, 9) : 69.66687992071937
(2019, 10) : 69.89731652353406
(2019, 11) : 70.12851533972729
(2019, 12) : 70.36047889046638
(2020, 1) : 70.59320970525792
(2020, 2) : 70.82671032197531
(2020, 3) : 71.06098328688647
(2020, 4) : 71.29603115468156
(2020, 5) : 71.53185648850089
(2020, 6) : 71.76846185996285
(2020, 7) : 72.00584984919196
(2020, 8) : 72.24402304484698
(2020, 9) : 72.48298404414916
(2020, 10) : 72.72273545291058
(2020, 11) : 72.96327988556251
(2020, 12) : 73.204619965184
(2021, 1) : 73.44675832353037
(2021, 2) : 73.68969760106205
(2021, 3) : 73.93344044697325
(2021, 4) : 74.17798951922093
(2021, 5) : 74.42334748455374
(2021, 6) : 74.66951701854111
(2021, 7) : 74.91650080560244
(2021, 8) : 75.16430153903636
(2021, 9) : 75.4129219210501
(2021, 10) : 75.66236466278896
(2021, 11) : 75.91263248436587
(2021, 12) : 76.16372811489109
(2022, 1) : 76.41565429250188
(2022, 2) : 76.66841376439247
(2022, 3) : 76.92200928684392
(2022, 4) : 77.17644362525425
(2022, 5) : 77.43171955416855
(2022, 6) : 77.68783985730926
(2022, 7) : 77.94480732760651
(2022, 8) : 78.2026247672286
(2022, 9) : 78.4612949876125
(2022, 10) : 78.72082080949461
(2022, 11) : 78.9812050629414
(2022, 12) : 79.24245058738036
(2023, 1) : 79.50456023163093
(2023, 2) : 79.76753685393555
(2023, 3) : 80.03138332199087
(2023, 4) : 80.29610251297899
(2023, 5) : 80.56169731359884
(2023, 6) : 80.82817062009767
(2023, 7) : 81.09552533830261
(2023, 8) : 81.36376438365238
(2023, 9) : 81.63289068122907
(2023, 10) : 81.90290716579005
(2023, 11) : 82.17381678179997
(2023, 12) : 82.44562248346284
(2024, 1) : 82.7183272347543
(2024, 2) : 82.99193400945387
(2024, 3) : 83.26644579117745
(2024, 4) : 83.54186557340981
(2024, 5) : 83.81819635953724
(2024, 6) : 84.09544116288032
(2024, 7) : 84.37360300672677
(2024, 8) : 84.65268492436441
(2024, 9) : 84.93268995911423
(2024, 10) : 85.2136211643636
(2024, 11) : 85.49548160359957
(2024, 12) : 85.77827435044225
(2025, 1) : 86.06200248867832
(2025, 2) : 86.34666911229472
(2025, 3) : 86.6322773255123
(2025, 4) : 86.91883024281977
(2025, 5) : 87.20633098900755
(2025, 6) : 87.49478269920196
(2025, 7) : 87.78418851889933
(2025, 8) : 88.0745516040003
(2025, 9) : 88.36587512084431
(2025, 10) : 88.65816224624402
(2025, 11) : 88.95141616752005
(2025, 12) : 89.2456400825357
(2026, 1) : 89.54083719973178
(2026, 2) : 89.83701073816167
(2026, 3) : 90.13416392752636
(2026, 4) : 90.43230000820972
(2026, 5) : 90.7314222313138
(2026, 6) : 91.0315338586943
(2026, 7) : 91.33263816299613
(2026, 8) : 91.63473842768911
(2026, 9) : 91.93783794710377
(2026, 10) : 92.24194002646728
(2026, 11) : 92.54704798193944
(2026, 12) : 92.85316514064894
(2027, 1) : 93.16029484072955
(2027, 2) : 93.46844043135658
(2027, 3) : 93.77760527278338
(2027, 4) : 94.08779273637796
(2027, 5) : 94.39900620465983
(2027, 6) : 94.71124907133678
(2027, 7) : 95.02452474134198
(2027, 8) : 95.33883663087103
(2027, 9) : 95.65418816741929
(2027, 10) : 95.97058278981922
(2027, 11) : 96.28802394827785
(2027, 12) : 96.60651510441447
(2028, 1) : 96.92605973129831
(2028, 2) : 97.24666131348646
(2028, 3) : 97.56832334706183
(2028, 4) : 97.89104933967134
(2028, 5) : 98.2148428105641
(2028, 6) : 98.5397072906298
(2028, 7) : 98.86564632243727
(2028, 8) : 99.19266346027302
(2028, 9) : 99.52076227018009
(2028, 10) : 99.84994632999684
(2028, 11) : 100.18021922939606
(2028, 12) : 100.51158456992407
(2029, 1) : 100.84404596503997
(2029, 2) : 101.1776070401551
(2029, 3) : 101.51227143267253
(2029, 4) : 101.84804279202676
(2029, 5) : 102.18492477972346
(2029, 6) : 102.52292106937946
(2029, 7) : 102.8620353467628
(2029, 8) : 103.20227130983285
(2029, 9) : 103.54363266878076
(2029, 10) : 103.8861231460698
(2029, 11) : 104.22974647647604
(2029, 12) : 104.574506407129
(2030, 1) : 104.92040669755258
(2030, 2) : 105.26745111970602
(2030, 3) : 105.61564345802505
(2030, 4) : 105.96498750946313
(2030, 5) : 106.31548708353289
(2030, 6) : 106.66714600234765
