(2017, 8) : 64.19485010714286
(2017, 9) : 64.45575631936403
(2017, 10) : 64.7177229289763
(2017, 11) : 64.98075424573764
(2017, 12) : 65.24485459692211
(2018, 1) : 65.51002832739103
(2018, 2) : 65.7762797996645
(2018, 3) : 66.04361339399313
(2018, 4) : 66.31203350843015
(2018, 5) : 66.5815445589037
(2018, 6) : 66.85215097928953
(2018, 7) : 67.12385722148393
(2018, 8) : 67.39666775547697
(2018, 9) : 67.67058706942602
(2018, 10) : 67.94561966972961
(2018, 11) : 68.22177008110158
(2018, 12) : 68.4990428466455
(2019, 1) : 68.77744252792937
(2019, 2) : 69.05697370506074
(2019, 3) : 69.33764097676202
(2019, 4) : 69.61944896044615
(2019, 5) : 69.90240229229254
(2019, 6) : 70.18650562732336
(2019, 7) : 70.47176363948012
(2019, 8) : 70.75818102170058
(2019, 9) : 71.04576248599592
(2019, 10) : 71.3345127635283
(2019, 11) : 71.62443660468864
(2019, 12) : 71.91553877917484
(2020, 1) : 72.2078240760702
(2020, 2) : 72.50129730392223
(2020, 3) : 72.79596329082175
(2020, 4) : 73.0918268844823
(2020, 5) : 73.38889295231995
(2020, 6) : 73.6871663815333
(2020, 7) : 73.98665207918397
(2020, 8) : 74.28735497227723
(2020, 9) : 74.58928000784313
(2020, 10) : 74.89243215301786
(2020, 11) : 75.19681639512548
(2020, 12) : 75.50243774175995
(2021, 1) : 75.80930122086752
(2021, 2) : 76.11741188082948
(2021, 3) : 76.42677479054514
(2021, 4) : 76.73739503951528
(2021, 5) : 77.04927773792588
(2021, 6) : 77.36242801673217
(2021, 7) : 77.67685102774303
(2021, 8) : 77.99255194370578
(2021, 9) : 78.30953595839127
(2021, 10) : 78.6278082866793
(2021, 11) : 78.94737416464444
(2021, 12) : 79.26823884964217
(2022, 1) : 79.59040762039537
(2022, 2) : 79.91388577708112
(2022, 3) : 80.23867864141798
(2022, 4) : 80.56479155675345
(2022, 5) : 80.89222988815197
(2022, 6) : 81.2209990224831
(2022, 7) : 81.5511043685102
(2022, 8) : 81.88255135697935
(2022, 9) : 82.21534544070879
(2022, 10) : 82.54949209467853
(2022, 11) : 82.88499681612048
(2022, 12) : 83.22186512460885
(2023, 1) : 83.56010256215102
(2023, 2) : 83.89971469327861
(2023, 3) : 84.24070710513915
(2023, 4) : 84.5830854075879
(2023, 5) : 84.92685523328016
(2023, 6) : 85.27202223776399
(2023, 7) : 85.61859209957319
(2023, 8) : 85.96657052032074
(2023, 9) : 86.31596322479263
(2023, 10) : 86.66677596104196
(2023, 11) : 87.01901450048362
(2023, 12) : 87.37268463798915
(2024, 1) : 87.72779219198212
(2024, 2) : 88.08434300453382
(2024, 3) : 88.44234294145939
(2024, 4) : 88.80179789241431
(2024, 5) : 89.16271377099135
(2024, 6) : 89.52509651481773
(2024, 7) : 89.88895208565296
(2024, 8) : 90.25428646948679
(2024, 9) : 90.62110567663777
(2024, 10) : 90.9894157418521
(2024, 11) : 91.35922272440291
(2024, 12) : 91.73053270818995
(2025, 1) : 92.10335180183966
(2025, 2) : 92.47768613880571
(2025, 3) : 92.85354187746985
(2025, 4) : 93.23092520124328
(2025, 5) : 93.60984231866833
(2025, 6) : 93.99029946352063
(2025, 7) : 94.37230289491166
(2025, 8) : 94.75585889739169
(2025, 9) : 95.14097378105323
(2025, 10) : 95.5276538816348
(2025, 11) : 95.91590556062516
(2025, 12) : 96.305735205368
(2026, 1) : 96.69714922916695
(2026, 2) : 97.09015407139121
(2026, 3) : 97.48475619758136
(2026, 4) : 97.88096209955582
(2026, 5) : 98.27877829551758
(2026, 6) : 98.6782113301615
(2026, 7) : 99.07926777478194
(2026, 8) : 99.48195422738087
(2026, 9) : 99.88627731277644
(2026, 10) : 100.29224368271194
(2026, 11) : 100.69986001596524
(2026, 12) : 101.1091330184587
(2027, 1) : 101.52006942336945
(2027, 2) : 101.93267599124015
(2027, 3) : 102.34695951009026
(2027, 4) : 102.76292679552769
(2027, 5) : 103.18058469086094
(2027, 6) : 103.59994006721165
(2027, 7) : 104.02099982362768
(2027, 8) : 104.44377088719656
(2027, 9) : 104.86826021315953
(2027, 10) : 105.29447478502587
(2027, 11) : 105.72242161468786
(2027, 12) : 106.15210774253613
(2028, 1) : 106.58354023757543
(2028, 2) : 107.016726197541
(2028, 3) : 107.4516727490153
(2028, 4) : 107.88838704754522
(2028, 5) : 108.3268762777599
(2028, 6) : 108.76714765348879
(2028, 7) : 109.20920841788048
(2028, 8) : 109.65306584352172
(2028, 9) : 110.09872723255717
(2028, 10) : 110.54619991680948
(2028, 11) : 110.99549125789994
(2028, 12) : 111.44660864736954
(2029, 1) : 111.89955950680064
(2029, 2) : 112.354351287939
(2029, 3) : 112.81099147281641
(2029, 4) : 113.26948757387379
(2029, 5) : 113.72984713408475
(2029, 6) : 114.1920777270797
(2029, 7) : 114.65618695727048
(2029, 8) : 115.12218245997538
(2029, 9) : 115.59007190154485
(2029, 10) : 116.05986297948755
(2029, 11) : 116.53156342259703
(2029, 12) : 117.00518099107887
(2030, 1) : 117.48072347667834
(2030, 2) : 117.95819870280855
(2030, 3) : 118.43761452467925
(2030, 4) : 118.91897882942598
(2030, 5) : 119.40229953623987
(2030, 6) : 119.88758459649787
(2030, 7) : 120.37484199389364
(2030, 8) : 120.86407974456883
(2030, 9) : 121.35530589724496
(2030, 10) : 121.8485285333559
(2030, 11) : 122.34375576718075
(2030, 12) : 122.84099574597737
(2031, 1) : 123.34025665011637
(2031, 2) : 123.84154669321578
(2031, 3) : 124.34487412227605
