9-Sep,47.735,48.665,49.215,47.715,-1.96%
9-Aug,48.69,47.71,49.06,47.15,1.81%
9-Jul,47.825,48.025,49.47,47.575,0.16%
9-Jun,47.75,47.09,48.95,46.58,1.34%
9-May,47.12,49.72,50.03,46.67,-5.24%
9-Apr,49.725,50.685,50.735,49.345,-1.67%
9-Mar,50.57,50.83,52.14,50.03,-0.85%
9-Feb,51.005,48.675,51.195,48.185,4.41%
9-Jan,48.85,48.7,49.35,47.93,0.47%
8-Dec,48.62,49.39,50.62,46.44,-1.93%
8-Nov,49.575,49.125,50.595,46.725,0.51%
8-Oct,49.325,46.705,50.315,46.055,5.36%
8-Sep,46.815,43.615,47.125,43.465,6.71%
8-Aug,43.87,42.38,44.16,41.76,3.26%
8-Jul,42.483,42.813,43.563,41.743,-1.04%
8-Jun,42.93,42.22,43.14,42.12,1.83%
8-May,42.16,40.59,43.21,40.26,4.20%
8-Apr,40.46,39.95,40.66,39.61,1.07%
8-Mar,40.03,39.79,40.84,39.61,0.28%
8-Feb,39.92,39.19,40.25,39.12,1.63%
8-Jan,39.28,39.41,39.79,39.03,-0.32%
7-Dec,39.405,39.475,39.695,39.125,-0.29%
7-Nov,39.52,39.17,39.92,39.02,0.83%
7-Oct,39.195,39.565,39.975,39.095,-1.17%
7-Sep,39.66,40.64,41,39.41,-2.41%
7-Aug,40.64,40.17,41.725,40.15,1.12%
7-Jul,40.19,40.61,40.75,40.06,-0.83%
7-Jun,40.525,40.325,41.245,40.155,0.37%
7-May,40.375,41.165,41.485,40.155,-1.63%
7-Apr,41.045,43.155,43.335,40.555,-4.81%
7-Mar,43.12,44.07,44.715,42.77,-2.20%
7-Feb,44.09,44.08,44.38,43.85,0.02%
7-Jan,44.08,44.13,44.635,44.01,-0.08%
6-Dec,44.115,44.575,44.935,44.085,-1.09%
6-Nov,44.6,44.91,45.38,44.36,-0.71%
6-Oct,44.92,45.8,45.905,44.82,-2.16%
6-Sep,45.91,46.37,46.56,45.69,-1.23%
6-Aug,46.48,46.48,46.8,46.32,-0.04%
6-Jul,46.5,45.83,47.05,45.81,1.35%
6-Jun,45.88,46.21,46.48,45.61,-0.92%
6-May,46.305,44.895,46.56,44.695,3.13%
6-Apr,44.9,44.47,45.42,44.41,0.90%
6-Mar,44.5,44.22,44.77,44.11,0.51%
6-Feb,44.275,43.925,44.67,43.925,0.80%
6-Jan,43.925,45.115,45.155,43.925,-2.38%
5-Dec,44.995,45.845,46.412,44.865,-1.95%
5-Nov,45.89,45.03,46.06,45.03,1.82%
5-Oct,45.07,43.9,45.435,43.88,2.54%
