2014,2014090400,SEA,6,1,GB,SEA,1,0,NA,NA,Pass,A.Rodgers,00-0023459,1,Short,0,left,0,NA,R.Cobb,NA,NA,NA,NA,0,7,3,SEA
2014,2014090400,SEA,6,2,GB,SEA,1,0,NA,NA,Run,NA,None,0,NA,0,NA,0,tackle,NA,T.McDaniel,NA,NA,NA,0,7,3,SEA
2014,2014090400,SEA,6,3,GB,SEA,1,0,NA,NA,Pass,A.Rodgers,00-0023459,1,Short,5,middle,0,NA,J.Nelson,NA,NA,NA,NA,0,7,3,SEA
2014,2014090400,GB,7,NA,SEA,GB,1,0,NA,NA,Kickoff,NA,None,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,10,0,SEA
2014,2014090400,SEA,7,1,SEA,GB,1,0,NA,NA,Pass,R.Wilson,00-0029263,1,Deep,24,right,0,NA,Z.Miller,NA,NA,NA,NA,0,10,0,SEA
2014,2014090400,GB,7,2,SEA,GB, Defensive Offside, enforced at GB 46 - No Play.",-2,NA,0,0,NA,No Play,None,1,0,0,None,0,NA,NA,J.Peppers,NA,GB,Defensive Offside,10,10
2014,2014090400,GB,7,1,SEA,GB,1,0,NA,NA,Run,NA,None,0,NA,0,NA,0,end,NA,NA,NA,NA,NA,0,10,0,SEA
2014,2014090400,GB,7,2,SEA,GB,1,0,NA,NA,Run,NA,None,0,NA,0,NA,0,guard,NA,B.Jones,NA,NA,NA,0,10,0,SEA
2014,2014090400,GB,8,1,GB,SEA,1,0,NA,NA,Pass,A.Rodgers,00-0023459,1,Short,3,middle,0,NA,A.Quarless,K.Chancellor,NA,NA,NA,0,10,7,SEA
2014,2014090400,GB,8,1,GB,SEA,1,0,NA,NA,Run,NA,None,0,NA,0,NA,0,tackle,NA,NA,NA,NA,NA,0,10,7,SEA
2014,2014090400,GB,8,2,GB,SEA,1,0,NA,NA,Pass,A.Rodgers,00-0023459,1,Short,3,middle,0,NA,J.Starks,NA,NA,NA,NA,0,10,7,SEA
2014,2014090400,GB,8,1,GB,SEA,1,0,NA,NA,Pass,A.Rodgers,00-0023459,1,Short,6,right,0,NA,A.Quarless,NA,NA,NA,NA,0,10,7,SEA
2014,2014090400,SEA,8,2,GB,SEA,1,0,NA,NA,Pass,A.Rodgers,00-0023459,1,Short,-6,right,0,NA,J.Starks,NA,NA,NA,NA,0,10,7,SEA
2014,2014090400,SEA,8,3,GB,SEA,1,0,NA,NA,Pass,A.Rodgers,00-0023459,1,Short,10,left,0,NA,J.Nelson,NA,NA,NA,NA,0,10,7,SEA
2014,2014090400,SEA,9,1,SEA,GB,1,0,NA,NA,Pass,R.Wilson,00-0029263,1,Short,-1,right,0,NA,D.Baldwin,NA,NA,NA,NA,0,17,7,SEA
2014,2014090400,SEA,9,2,SEA,GB, Shotgun) R.Wilson sacked at SEA 11 for -11 yards (sack split by C.Matthews and J.Peppers). PENALTY on GB-B.Jones, 5 yards,1,NA,NA,0,0,NA,NA,None,NA,0,NA,None,NA,NA,NA,NA,1,GB,5,17
2014,2014090400,SEA,9,1,SEA,GB,1,0,NA,NA,Run,NA,None,0,NA,0,NA,0,tackle,NA,NA,NA,NA,NA,0,17,7,SEA
